EmployeeNo,Division,Qualification,Gender,Channel_of_Recruitment,Trainings_Attended,Year_of_birth,Last_performance_score,Year_of_recruitment,Targets_met,Previous_Award,Training_score_average,State_Of_Origin,Foreign_schooled,Marital_Status,Past_Disciplinary_Action,Previous_IntraDepartmental_Movement,No_of_previous_employers,Promoted_or_Not
YAK/S/00001,Commercial Sales and Marketing,MSc  MBA and PhD,Female,Direct Internal process,2,1986,12.5,2011,1,0,41,ANAMBRA,No,Married,No,No,0,0
YAK/S/00002,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1991,12.5,2015,0,0,52,ANAMBRA,Yes,Married,No,No,0,0
YAK/S/00003,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1987,7.5,2012,0,0,42,KATSINA,Yes,Married,No,No,0,0
YAK/S/00004,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1982,2.5,2009,0,0,42,NIGER,Yes,Single,No,No,1,0
YAK/S/00006,Information and Strategy,First Degree or HND,Male,Direct Internal process,3,1990,7.5,2012,0,0,77,AKWA IBOM,Yes,Married,No,No,1,0
YAK/S/00007,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,2,1990,7.5,2014,0,0,51,ENUGU,Yes,Married,No,Yes,1,0
YAK/S/00008,Customer Support and Field Operations,MSc  MBA and PhD,Male,Direct Internal process,2,1988,7.5,2013,0,0,55,OYO,No,Single,No,No,1,0
YAK/S/00009,Information and Strategy,First Degree or HND,Male,Agency and others,2,1993,10,2014,0,0,75,LAGOS,Yes,Married,No,No,0,0
YAK/S/00010,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Direct Internal process,2,1989,12.5,2014,1,0,46,ONDO,Yes,Married,No,No,0,0
YAK/S/00012,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1986,12.5,2016,1,0,42,LAGOS,Yes,Married,No,No,0,1
YAK/S/00013,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1972,12.5,2014,1,0,41,KWARA,Yes,Married,No,Yes,1,0
YAK/S/00014,Information Technology and Solution Support,MSc  MBA and PhD,Male,Agency and others,3,1982,7.5,2003,0,0,72,EDO,Yes,Married,No,No,0,0
YAK/S/00018,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1987,2.5,2015,0,0,43,LAGOS,Yes,Single,No,Yes,1,0
YAK/S/00020,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1984,7.5,2010,0,0,51,BAUCHI,Yes,Married,No,No,1,0
YAK/S/00021,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1986,7.5,2012,0,0,67,TARABA,Yes,Married,No,No,0,0
YAK/S/00022,Customer Support and Field Operations,,Male,Direct Internal process,2,1980,10,2008,0,0,49,RIVERS,Yes,Married,No,No,1,0
YAK/S/00023,Business Finance Operations,First Degree or HND,Female,Agency and others,2,1993,7.5,2015,0,0,55,KADUNA,Yes,Married,No,No,4,0
YAK/S/00024,Sourcing and Purchasing,First Degree or HND,Male,Agency and others,2,1994,0,2018,0,0,62,LAGOS,Yes,Single,No,No,4,0
YAK/S/00025,Business Finance Operations,MSc  MBA and PhD,Male,Direct Internal process,3,1982,12.5,2012,0,0,51,PLATEAU,Yes,Single,No,Yes,0,0
YAK/S/00026,Information Technology and Solution Support,First Degree or HND,Male,Agency and others,2,1994,12.5,2016,1,0,75,LAGOS,Yes,Married,No,No,1,0
YAK/S/00029,Information and Strategy,First Degree or HND,Male,Agency and others,2,1992,12.5,2016,1,0,72,LAGOS,Yes,Married,No,No,1,0
YAK/S/00030,Commercial Sales and Marketing,First Degree or HND,Male,Direct Internal process,2,1995,0,2018,0,0,36,EKITI,Yes,Married,No,No,1,0
YAK/S/00033,Commercial Sales and Marketing,,Female,Direct Internal process,2,1997,2.5,2017,0,0,40,EDO,Yes,Married,No,No,1,0
YAK/S/00035,Information and Strategy,First Degree or HND,Male,Agency and others,3,1994,12.5,2016,1,0,79,BORNO,Yes,Married,No,No,0,0
YAK/S/00036,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,2,1981,5,2015,1,0,39,BORNO,Yes,Single,No,No,3,0
YAK/S/00037,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1988,10,2015,1,0,67,LAGOS,Yes,Married,No,No,1,0
YAK/S/00039,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1979,12.5,2014,1,0,43,IMO,Yes,Married,No,No,1,0
YAK/S/00042,Customer Support and Field Operations,First Degree or HND,Female,Agency and others,3,1998,10,2017,1,0,49,LAGOS,Yes,Single,No,Yes,1,0
YAK/S/00044,Commercial Sales and Marketing,,Male,Agency and others,4,1997,5,2017,0,0,40,CROSS RIVER,Yes,Married,No,No,1,0
YAK/S/00046,Sourcing and Purchasing,First Degree or HND,Female,Direct Internal process,2,1971,12.5,2008,0,0,63,KANO,No,Married,No,Yes,2,0
YAK/S/00048,Information Technology and Solution Support,First Degree or HND,Male,Direct Internal process,2,1981,7.5,2008,0,0,72,IMO,Yes,Married,No,No,1,0
YAK/S/00052,Commercial Sales and Marketing,First Degree or HND,Female,Direct Internal process,2,1990,7.5,2011,0,0,40,KADUNA,No,Not_Sure,No,No,1,0
YAK/S/00053,Sourcing and Purchasing,First Degree or HND,Male,Direct Internal process,2,1981,7.5,2007,1,0,57,EKITI,Yes,Married,No,No,3,0
YAK/S/00054,People/HR Management,First Degree or HND,Male,Agency and others,2,1991,2.5,2013,0,0,42,RIVERS,No,Single,No,Yes,1,0
YAK/S/00055,Customer Support and Field Operations,First Degree or HND,Male,Agency and others,2,1982,7.5,2014,1,0,54,OYO,Yes,Married,No,No,0,0
YAK/S/00056,Information and Strategy,First Degree or HND,Male,Agency and others,3,1995,5,2017,0,0,77,LAGOS,Yes,Married,No,No,1,0
YAK/S/00057,Commercial Sales and Marketing,First Degree or HND,Female,Agency and others,2,1992,0,2018,0,0,41,BAUCHI,Yes,Married,No,No,1,0
YAK/S/00059,Commercial Sales and Marketing,First Degree or HND,Male,Agency and others,3,1994,0,2018,1,0,39,LAGOS,Yes,Married,No,No,1,0
YAK/S/00061,Commercial Sales and Marketing,MSc  MBA and PhD,Male,Agency and others,2,1971,10,2002,1,0,39,IMO,Yes,Married,No,No,1,1
